,fc
AC005332.3,0.914660218427374
AC005332.4,0.233697560343631
AC005332.5,-0.558640916839136
AC005332.6,-0.453742643382351
AC005332.7,-1.58280498924446
AC005336.1,-1.29236351148049
AC005336.2,-3.3222552539806
AC005363.1,0.0155747041378394
AC005363.2,1.79962924536997
AC005383.1,-1.76367892239178
AC005410.1,-0.796274074601932
AC005476.1,-2.45196110071975
AC005476.2,-0.0726426462315262
AC005480.1,-0.493724111874314
AC005520.3,1.83005630357236
AC005520.4,1.15904189651898
AC005521.1,1.7751388032953
AC005523.1,-0.418940156495801
AC005534.1,-1.00069459879688
AC005534.2,-5.05918853037791
AC005537.2,0.450918012141586
AC005540.1,-3.0633515307249
AC005562.1,-0.0951393809156096
AC005578.1,1.94729329729395
AC005586.1,0.946817510522691
AC005586.2,-0.383472622356653
AC005618.1,-0.250026945022788
AC005670.1,0.455980423278324
AC005670.2,-1.11576204196648
AC005670.3,0.491600540781707
AC005696.4,1.69436270122661
AC005697.2,0.402130709396607
AC005722.3,-0.992514396629869
AC005726.1,-1.05881403533412
AC005730.2,-0.662938123122793
AC005730.3,-1.69906243327736
AC005740.4,-1.1082372057763
AC005776.1,0.946874001645806
AC005785.1,0.219988389482532
AC005786.1,-0.617962811296228
AC005790.1,-0.610825160645854
AC005822.1,-0.376549029118961
AC005829.1,0.499817199613497
AC005829.2,0.797435201971825
AC005831.1,1.14627059457666
AC005837.1,-0.664726500469416
AC005837.3,1.90904846212622
AC005837.4,-0.677065598059569
AC005839.1,-0.250296247777483
AC005840.1,-0.535154049847478
AC005840.2,0.278076853003385
AC005840.4,-0.703940613998325
AC005865.2,3.20337778751753
AC005871.2,-0.039124942221464
AC005909.2,1.0350416911492
AC005912.1,-0.197107455622675
AC005943.1,-0.251171816029063
AC005962.1,0.239397102308867
AC005962.2,2.77119852408026
AC005993.1,-0.019016072312128
AC006001.2,1.39272539682319
AC006001.3,0.214234199606325
AC006001.4,0.187696480037073
AC006023.1,3.18868623241973
AC006023.3,-3.53599419342701
AC006030.1,0.904013239207213
AC006033.1,-0.137718631930504
AC006042.3,-0.200232890646282
AC006058.1,-0.524669819035645
AC006058.3,1.64406318689148
AC006058.4,0.487569703607155
AC006059.2,2.18849399871068
AC006064.5,1.78097819906102
AC006077.2,-0.191023675931376
AC006115.2,-2.12256065664295
AC006116.6,-3.97307012611926
AC006116.7,2.01199522279977
AC006127.1,1.3212050961435
AC006130.3,-0.610620209670641
AC006157.1,1.00432124662708
AC006210.2,-5.39311795790147
AC006213.2,0.397856603846285
AC006213.3,-0.460310035201753
AC006213.4,1.19077820598758
AC006213.5,-1.27086764597009
AC006213.6,0.740640858576654
AC006254.1,0.781575893986085
AC006273.1,0.35419325763743
AC006277.1,1.47983621122216
AC006330.1,-0.175790565803991
AC006333.1,0.622890060639046
AC006449.5,0.0131438719481156
AC006449.7,0.316284976582705
AC006453.3,-0.218174819030311
AC006480.3,-0.370385356611307
AC006483.1,-1.46142925268889
AC006483.2,0.432932724986535
AC006486.2,0.300516697078293
AC006487.1,-2.70897908816201
AC006504.1,0.353512336290731
AC006504.5,0.0309588510794321
AC006504.7,0.643897547198684
AC006511.7,0.351797521045226
AC006538.1,-0.312839802781733
AC006557.4,-1.47474742631562
AC006557.5,-0.00359034547750555
AC006557.6,0.178453854572907
AC006566.1,-0.641547435655262
AC006946.1,0.970600503570609
AC006946.2,-0.541534169701619
AC006946.3,-4.61335647223348
AC006963.2,-1.31430791881672
AC006971.1,0.600117124037944
AC006978.1,-0.474410393447426
AC006978.2,-8.76240434430428
AC007000.1,-0.16404144115641
AC007000.4,0.037261019620025
AC007032.1,0.868251978966566
AC007038.1,0.771283172179805
AC007040.3,-1.42280495834948
AC007066.1,0.43017040162118
AC007066.2,0.0170545722357896
AC007068.1,-0.183070240012488
AC007114.1,-0.160509975842378
AC007128.1,1.52424709409696
AC007128.2,-6.46364591937823
AC007160.1,-2.98445697679423
AC007161.2,1.47705765785463
AC007182.2,0.0623698759934523
AC007191.1,-0.824096104260212
AC007220.1,-4.78324823162061
AC007229.1,1.19973277168124
AC007238.1,0.443864121043363
